run_id,wtime,pss,label,pred_iso,score_iso,anomaly_type,flag_type
anomaly_mem_spike,122,1173055,1,0,0.39374111643750587,mem_spike,FN
anomaly_mem_spike,124,1173055,1,0,0.39374111643750587,mem_spike,FN
anomaly_mem_spike,126,1173055,1,0,0.39374111643750587,mem_spike,FN
anomaly_mem_spike,128,1173055,1,0,0.39374111643750587,mem_spike,FN
anomaly_mem_spike,130,1173055,1,0,0.39374111643750587,mem_spike,FN
anomaly_mem_spike,132,1173055,1,0,0.39374111643750587,mem_spike,FN
anomaly_mem_spike,134,1173055,1,0,0.39374111643750587,mem_spike,FN
anomaly_mem_spike,136,1173055,1,0,0.3947062715692932,mem_spike,FN
anomaly_mem_spike,138,1173055,1,0,0.3947062715692932,mem_spike,FN
anomaly_mem_spike,140,1173055,1,0,0.3947062715692932,mem_spike,FN
anomaly_mem_spike,142,1173055,1,0,0.3947062715692932,mem_spike,FN
anomaly_mem_spike,144,1173055,1,0,0.3947062715692932,mem_spike,FN
anomaly_mem_spike,146,1173055,1,0,0.3947062715692932,mem_spike,FN
anomaly_mem_spike,148,1173055,1,0,0.3947062715692932,mem_spike,FN
anomaly_mem_spike,150,1173055,1,0,0.3947062715692932,mem_spike,FN
anomaly_mem_spike,152,1173055,1,0,0.3947062715692932,mem_spike,FN
anomaly_mem_spike,154,1173055,1,0,0.3947062715692932,mem_spike,FN
anomaly_mem_spike,156,1173055,1,0,0.3947062715692932,mem_spike,FN
anomaly_mem_spike,158,1173055,1,0,0.3947062715692932,mem_spike,FN
anomaly_mem_spike,160,1173055,1,0,0.3959150851258923,mem_spike,FN
anomaly_mem_spike,162,1173055,1,0,0.3959150851258923,mem_spike,FN
anomaly_mem_spike,164,1173055,1,0,0.3959150851258923,mem_spike,FN
anomaly_mem_spike,166,1173055,1,0,0.3959150851258923,mem_spike,FN
anomaly_mem_spike,168,1173055,1,0,0.3959150851258923,mem_spike,FN
anomaly_mem_spike,170,1173055,1,0,0.3959150851258923,mem_spike,FN
anomaly_mem_spike,172,1173055,1,0,0.3959150851258923,mem_spike,FN
anomaly_mem_spike,174,1173055,1,0,0.3959150851258923,mem_spike,FN
anomaly_mem_spike,176,1173051,1,1,0.4537415069349652,mem_spike,TP
anomaly_mem_spike,178,1173050,1,0,0.439028206674356,mem_spike,FN
anomaly_mem_spike,180,1173055,1,0,0.44227246824298694,mem_spike,FN
