run_id,wtime,pss,label,pred_ocsvm,score_ocsvm,anomaly_type,flag_type
anomaly_mem_spike,126,1173055,1,1,21.08472636633691,mem_spike,TP
anomaly_mem_spike,128,1173055,1,1,21.08472636633691,mem_spike,TP
anomaly_mem_spike,130,1173055,1,1,21.08472636633691,mem_spike,TP
anomaly_mem_spike,132,1173055,1,1,21.084726366336913,mem_spike,TP
anomaly_mem_spike,134,1173055,1,1,21.084726366336913,mem_spike,TP
anomaly_mem_spike,136,1173055,1,1,21.084726366336913,mem_spike,TP
anomaly_mem_spike,138,1173055,1,1,21.084726366336913,mem_spike,TP
anomaly_mem_spike,140,1173055,1,1,21.084726366336913,mem_spike,TP
anomaly_mem_spike,142,1173055,1,1,21.084726366336913,mem_spike,TP
anomaly_mem_spike,144,1173055,1,1,21.084726366336913,mem_spike,TP
anomaly_mem_spike,146,1173055,1,1,21.084726366336916,mem_spike,TP
anomaly_mem_spike,148,1173055,1,1,21.084726366336916,mem_spike,TP
anomaly_mem_spike,150,1173055,1,1,21.084726366336916,mem_spike,TP
anomaly_mem_spike,152,1173055,1,1,21.084726366336916,mem_spike,TP
anomaly_mem_spike,154,1173055,1,1,21.084726366336916,mem_spike,TP
anomaly_mem_spike,156,1173055,1,1,21.084726366336916,mem_spike,TP
anomaly_mem_spike,158,1173055,1,1,21.084726366336916,mem_spike,TP
anomaly_mem_spike,160,1173055,1,1,21.084726366336916,mem_spike,TP
anomaly_mem_spike,162,1173055,1,1,21.084726366336916,mem_spike,TP
anomaly_mem_spike,164,1173055,1,1,21.08472636633692,mem_spike,TP
anomaly_mem_spike,166,1173055,1,1,21.08472636633692,mem_spike,TP
anomaly_mem_spike,168,1173055,1,1,21.08472636633692,mem_spike,TP
anomaly_mem_spike,170,1173055,1,1,21.08472636633692,mem_spike,TP
anomaly_mem_spike,172,1173055,1,1,21.08472636633692,mem_spike,TP
anomaly_mem_spike,174,1173055,1,1,21.08472636633692,mem_spike,TP
anomaly_mem_spike,176,1173051,1,1,21.084726346635005,mem_spike,TP
anomaly_mem_spike,178,1173050,1,1,21.08472634169467,mem_spike,TP
anomaly_mem_spike,180,1173055,1,1,21.084726366342025,mem_spike,TP
normal_mem_01,0,147669,0,0,-1.3355345975787642,mem_normal,TN
normal_mem_01,2,147669,0,0,-1.3355167873433942,mem_normal,TN
normal_mem_01,4,147665,0,0,-1.3355481752371716,mem_normal,TN
normal_mem_01,6,147665,0,0,-1.3355462924846115,mem_normal,TN
normal_mem_01,8,147666,0,0,-1.3355345143362811,mem_normal,TN
normal_mem_01,10,147666,0,0,-1.3355335727566278,mem_normal,TN
normal_mem_01,12,147666,0,0,-1.3355329789466488,mem_normal,TN
normal_mem_01,14,147666,0,0,-1.3355325547946464,mem_normal,TN
normal_mem_01,16,147666,0,0,-1.3355322366795512,mem_normal,TN
normal_mem_01,18,147672,0,0,-1.3354688956963656,mem_normal,TN
normal_mem_01,20,147672,0,0,-1.3354697165908895,mem_normal,TN
normal_mem_01,22,147672,0,0,-1.3354695546433248,mem_normal,TN
normal_mem_01,24,147672,0,0,-1.3354694196868238,mem_normal,TN
normal_mem_01,26,146958,0,0,-1.3202000304807449,mem_normal,TN
normal_mem_01,28,147231,0,0,-1.3367327811509888,mem_normal,TN
normal_mem_01,30,147231,0,0,-1.3399965467462849,mem_normal,TN
normal_mem_01,32,147372,0,0,-1.3376924992801769,mem_normal,TN
normal_mem_01,34,147372,0,0,-1.3385565965202382,mem_normal,TN
normal_mem_01,36,147372,0,0,-1.3385565382499856,mem_normal,TN
normal_mem_01,38,147371,0,0,-1.338566583995835,mem_normal,TN
normal_mem_01,40,147371,0,0,-1.3385666762085897,mem_normal,TN
normal_mem_01,42,147369,0,0,-1.338586740138993,mem_normal,TN
normal_mem_01,44,147369,0,0,-1.3385870680983238,mem_normal,TN
normal_mem_01,46,147369,0,0,-1.3385870328593903,mem_normal,TN
normal_mem_01,48,147369,0,0,-1.338587000557034,mem_normal,TN
normal_mem_01,50,147369,0,0,-1.338586970838854,mem_normal,TN
normal_mem_01,52,147369,0,0,-1.3385869434066855,mem_normal,TN
normal_mem_01,54,147369,0,0,-1.3385869180064986,mem_normal,TN
normal_mem_01,56,147369,0,0,-1.3385868944206365,mem_normal,TN
