epoch,train_loss,val_loss
1,0.19655106133884853,0.07970408885739744
2,0.07561493209666675,0.028404679459830124
3,0.03291363248394595,0.020878208878760535
4,0.028627505370726187,0.019213446183130145
5,0.026940222040543124,0.018537993387629587
6,0.026082848379802372,0.018386207443351548
7,0.02623498587248226,0.017781917413230985
8,0.025959561734149855,0.017901047598570585
9,0.025799750531506207,0.017819105143037934
10,0.026396137869192496,0.017760022446357954
11,0.037601772566429444,0.017787701721924048
12,0.025914648392548163,0.017912328553696472
13,0.025751591090940766,0.018017696177897353
14,0.03821231792163518,0.017898540594615042
15,0.025631023169909086,0.017948328129326303
16,0.025326209815426007,0.01771422611394276
17,0.02482794203226351,0.01732587581500411
18,0.023651777766644955,0.01669624897961815
19,0.02113272021395258,0.015757034833465394
20,0.019193974051934976,0.015377838751495196
21,0.01745348073826689,0.01535163324054641
22,0.015272279037162662,0.014995044834601382
23,0.013707793447085552,0.015336467874779677
24,0.012987377781731388,0.015044176970453313
25,0.012074900331855234,0.015056557642916838
26,0.01236581217057796,0.015465618188803395
27,0.012871114873430796,0.015018111240351573
28,0.05166996086093908,0.015109262564995637
29,0.012198084240986241,0.015492441006548082
30,0.011723411081927933,0.014964631889597513
31,0.011042161605372611,0.014592854126628177
32,0.010418157862861537,0.014719935274721744
33,0.010697632507395206,0.014652782694611233
34,0.010105309357944256,0.014555974936229177
35,0.009888485601145981,0.014497575675098536
36,0.009517355023288272,0.014411984416559184
37,0.009227256119225381,0.01460844516865715
38,0.009175289781220878,0.014467313114437275
39,0.009261660400726315,0.014844122887249492
40,0.009522745684888732,0.014720148591247076
41,0.010082538352839442,0.014526000619904758
42,0.0094936408697524,0.015358117569121532
43,0.009022093507357769,0.014444987832879027
44,0.009266738967400871,0.014989397003470609
45,0.00843010560169609,0.014588143788084077
46,0.010439516410567902,0.014145482246628186
47,0.010040744859401861,0.013882420476875268
48,0.009885591057051593,0.013968074207999356
49,0.009803320449363027,0.013911998317780672
50,0.009735011211079028,0.013852419633622048
51,0.00969875280538367,0.013880683977428513
52,0.009637656788173545,0.013825673064881508
53,0.009626435558958393,0.013831680104582725
54,0.00962071914141739,0.013836842924016915
55,0.009612450912956975,0.013832345977183044
56,0.009556619988870807,0.013841232154542618
57,0.009609335650263043,0.013829035561381412
58,0.009616511547291238,0.013841373248700014
59,0.009630503152341893,0.013833913775670226
60,0.009662379159029419,0.013857244995354753
61,0.00953815705239928,0.013822264632835868
62,0.009531171741804833,0.013833633545194365
63,0.009515246601141471,0.013826748371987682
64,0.009520546732851977,0.013823716011150585
65,0.009517550379516453,0.013840328516380396
66,0.009518646659368338,0.013825061641303668
67,0.009546809993076345,0.013829119878816224
68,0.009489852425758727,0.013828435145114781
69,0.009496384240466997,0.01384304173249499
70,0.009490551389010053,0.013837593392357425
71,0.009498095217471322,0.013826312878033301
72,0.009454953349227758,0.01382889869819337
73,0.009487830419352071,0.013817914550600108
74,0.04987067063322886,0.013831893274376247
75,0.009452736737633435,0.013905404312633133
76,0.009553814230861867,0.01387427074162891
77,0.009484518393744819,0.013844487328242394
78,0.04973368867407165,0.013838611992468941
79,0.009521391718105102,0.013913809839020056
80,0.009495685072680417,0.013880473999961396
81,0.009481655309274275,0.013841894786916479
82,0.009431902873782545,0.013842816309382519
83,0.00943954686388477,0.01384499532287009
84,0.009411628385553032,0.01384257968068899
85,0.009423653104426598,0.013841307227873282
86,0.04939359513729061,0.01384967693775252
87,0.009429902923228737,0.013880231734826035
88,0.009417510036857694,0.013878786735707157
