run_id,seq_idx,wtime,pss_kb,label,anomaly_type,recon_error,pred,flag_type
normal_io_01,0,18.0,1203.0,0,io_normal,216452158193664.0,1,FP
normal_io_01,1,20.0,1210.0,0,io_normal,261897525919744.0,1,FP
normal_cpu_01,0,18.0,1216.0,0,cpu_normal,145.16152954101562,1,FP
normal_cpu_01,1,20.0,1216.0,0,cpu_normal,158.40518188476562,1,FP
normal_cpu_01,2,22.0,1216.0,0,cpu_normal,175.21826171875,1,FP
normal_cpu_01,3,24.0,1216.0,0,cpu_normal,194.04885864257812,1,FP
normal_cpu_01,4,26.0,1216.0,0,cpu_normal,216.63021850585938,1,FP
normal_cpu_01,5,28.0,1216.0,0,cpu_normal,241.1266632080078,1,FP
normal_cpu_01,6,30.0,1216.0,0,cpu_normal,269.530029296875,1,FP
normal_cpu_01,7,32.0,1216.0,0,cpu_normal,300.8472900390625,1,FP
normal_cpu_01,8,34.0,1216.0,0,cpu_normal,335.07855224609375,1,FP
normal_cpu_01,9,36.0,1216.0,0,cpu_normal,372.2238464355469,1,FP
normal_cpu_01,10,38.0,1211.0,0,cpu_normal,412.28564453125,1,FP
normal_cpu_01,11,40.0,1211.0,0,cpu_normal,455.9690246582031,1,FP
normal_cpu_01,12,42.0,1216.0,0,cpu_normal,501.8670349121094,1,FP
normal_cpu_01,13,44.0,1216.0,0,cpu_normal,551.5260009765625,1,FP
normal_cpu_01,14,46.0,1216.0,0,cpu_normal,603.2410278320312,1,FP
normal_cpu_01,15,48.0,1216.0,0,cpu_normal,658.8553466796875,1,FP
normal_cpu_01,16,50.0,1211.0,0,cpu_normal,716.3819580078125,1,FP
normal_cpu_01,17,52.0,1211.0,0,cpu_normal,776.8159790039062,1,FP
normal_cpu_01,18,54.0,1211.0,0,cpu_normal,840.1577758789062,1,FP
normal_cpu_01,19,56.0,1211.0,0,cpu_normal,906.407470703125,1,FP
normal_cpu_01,20,58.0,1211.0,0,cpu_normal,975.5647583007812,1,FP
normal_cpu_01,21,60.0,1211.0,0,cpu_normal,1047.628662109375,1,FP
normal_cpu_01,22,62.0,1211.0,0,cpu_normal,1122.598388671875,1,FP
normal_cpu_01,23,64.0,1209.0,0,cpu_normal,1200.4732666015625,1,FP
normal_cpu_01,24,66.0,1211.0,0,cpu_normal,1281.2530517578125,1,FP
normal_cpu_01,25,68.0,1211.0,0,cpu_normal,1364.93798828125,1,FP
normal_cpu_01,26,70.0,1211.0,0,cpu_normal,1451.5283203125,1,FP
normal_cpu_01,27,72.0,1211.0,0,cpu_normal,1541.024658203125,1,FP
normal_cpu_01,28,74.0,1211.0,0,cpu_normal,1633.427490234375,1,FP
