Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772485044	0	0	0	0	0	98833	101520	0	250508	6593	0	88	0	0	0	0	0	0	0	1	1
1772485046	2	0	0	0	0	98833	101520	0	250508	6593	0	88	0	3924	22	3904	18	0	0	1	1
1772485048	4	0	0	0	0	98833	101520	0	250508	6593	0	88	0	4044	24	3904	18	0	0	1	1
1772485050	6	0	0	0	0	98829	101520	0	250508	6593	0	88	0	5956	36	5700	27	0	0	1	1
1772485052	8	0	0	0	0	98829	101520	0	250508	6593	0	88	0	7418	55	7252	41	0	0	1	1
1772485054	10	0	0	0	0	98832	101520	0	250508	6593	0	88	0	9666	69	9308	53	0	0	1	1
1772485056	12	0	0	0	0	98835	101520	0	250508	6593	0	88	0	10488	80	10714	62	0	0	1	1
1772485058	14	0	0	0	0	98835	101520	0	250508	6593	0	88	0	11456	94	11486	74	0	0	1	1
1772485060	16	0	0	0	0	98835	101520	0	250508	6593	0	88	0	12086	102	12135	82	0	0	1	1
1772485062	18	0	0	0	0	98833	101520	0	250508	6593	0	88	0	15537	120	15384	96	0	0	1	1
1772485064	20	0	0	0	0	98833	101520	0	250508	6593	0	88	0	18491	156	18944	127	0	0	1	1
1772485066	22	0	0	0	0	98835	101520	0	250508	6593	0	88	0	20285	170	20590	142	0	0	1	1
1772485068	24	0	0	0	0	98837	101520	0	250508	6593	0	88	0	21283	184	21724	159	0	0	1	1
1772485070	26	0	0	0	0	98835	101520	0	250508	6593	0	88	0	32080	240	29915	209	0	0	1	1
1772485072	28	0	0	0	0	98833	101520	0	250508	6593	0	88	0	38017	299	38033	291	0	0	1	1
1772485074	30	0	0	0	0	98833	101520	0	250508	6593	0	88	0	67821	388	52447	371	0	0	1	1
1772485076	32	0	0	0	0	98833	101520	0	250508	6593	0	88	0	71713	415	55274	393	0	0	1	1
1772485078	34	0	0	0	0	98833	101520	0	250508	6593	0	88	0	74565	439	60206	417	0	0	1	1
1772485080	36	0	0	0	0	98833	101520	0	250508	6593	0	88	0	79633	473	72396	444	0	0	1	1
1772485082	38	0	0	0	0	98835	101520	0	250508	6593	0	88	0	81087	496	73821	465	0	0	1	1
1772485084	40	0	0	0	0	98835	101520	0	250508	6593	0	88	0	82675	518	75279	484	0	0	1	1
1772485086	42	0	0	0	0	98835	101520	0	250508	6593	0	88	0	83423	530	75963	494	0	0	1	1
1772485088	44	0	0	0	0	98835	101520	0	250508	6593	0	88	0	84357	544	76647	504	0	0	1	1
1772485090	46	0	0	0	0	98835	101520	0	250508	6593	0	88	0	85319	560	77569	518	0	0	1	1
1772485092	48	0	0	0	0	98835	101520	0	250508	6593	0	88	0	85645	565	77803	521	0	0	1	1
1772485094	50	0	0	0	0	98835	101520	0	250508	6593	0	88	0	86539	576	78577	530	0	0	1	1
1772485096	52	0	0	0	0	98835	101520	0	250508	6593	0	88	0	88025	589	79159	539	0	0	1	1
1772485098	54	0	0	0	0	98833	101520	0	250508	6593	0	88	0	88920	603	79822	549	0	0	1	1
1772485100	56	0	0	0	0	98836	101520	0	250508	6593	0	88	0	98154	641	80686	561	0	0	1	1
1772485102	58	0	0	0	0	98836	101520	0	250508	6593	0	88	0	98557	646	80966	565	0	0	1	1
1772485104	60	0	0	0	0	98836	101520	0	250508	6593	0	88	0	99517	658	81806	575	0	0	1	1
1772485106	62	0	0	0	0	98836	101520	0	250508	6593	0	88	0	100179	669	82348	584	0	0	1	1
1772485108	64	0	0	0	0	98836	101520	0	250508	6593	0	88	0	100853	680	82930	593	0	0	1	1
1772485110	66	0	0	0	0	98836	101520	0	250508	6593	0	88	0	100973	682	82930	593	0	0	1	1
1772485112	68	0	0	0	0	98836	101520	0	250508	6593	0	88	0	101225	686	83062	595	0	0	1	1
1772485114	70	0	0	0	0	98836	101520	0	250508	6593	0	88	0	102871	709	84679	616	0	0	1	1
1772485116	72	0	0	0	0	98836	101520	0	250508	6593	0	88	0	103189	714	85006	620	0	0	1	1
1772485118	74	0	0	0	0	98836	101520	0	250508	6593	0	88	0	103505	718	85376	623	0	0	1	1
1772485120	76	0	0	0	0	98836	101520	0	250508	6593	0	88	0	104359	732	86162	635	0	0	1	1
1772485122	78	0	0	0	0	98836	101520	0	250508	6593	0	88	0	106671	756	88559	654	0	0	1	1
1772485124	80	0	0	0	0	98836	101520	0	250508	6593	0	88	0	107841	770	89675	667	0	0	1	1
1772485126	82	0	0	0	0	98836	101520	0	250508	6593	0	88	0	109510	788	91481	687	0	0	1	1
1772485128	84	0	0	0	0	98834	101520	0	250508	6593	0	88	0	112539	812	96096	715	0	0	1	1
1772485130	86	0	0	0	0	98834	101520	0	250508	6593	0	88	0	119685	837	100060	737	0	0	1	1
1772485132	88	0	0	0	0	98836	101520	0	250508	6593	0	88	0	126551	905	107826	828	0	0	1	1
1772485134	90	0	0	0	0	98836	101520	0	250508	6593	0	88	0	155333	991	122080	910	0	0	1	1
1772485136	92	0	0	0	0	98836	101520	0	250508	6593	0	88	0	156866	1001	122212	912	0	0	1	1
1772485138	94	0	0	0	0	98836	101520	0	250508	6593	0	88	0	157317	1008	122543	917	0	0	1	1
1772485140	96	0	0	0	0	98836	101520	0	250508	6593	0	88	0	157917	1018	123023	925	0	0	1	1
