Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772485242	0	0	0	0	0	206268	208944	0	348164	6593	0	88	0	242	3	234	3	0	0	1	1
1772485244	2	0	0	0	0	206268	208944	0	348164	6593	0	88	0	5469	30	5152	26	0	0	1	1
1772485246	4	0	0	0	0	206272	208944	0	348164	6593	0	88	0	9353	58	9326	57	0	0	1	1
1772485248	6	0	0	0	0	206272	208944	0	348164	6593	0	88	0	16599	96	14514	105	0	0	1	1
1772485250	8	0	0	0	0	206272	208944	0	348164	6593	0	88	0	27854	140	30720	150	0	0	1	1
1772485252	10	0	0	0	0	206272	208944	0	348164	6593	0	88	0	34029	201	38078	233	0	0	1	1
1772485254	12	0	0	0	0	206272	208944	0	348164	6593	0	88	0	61604	281	50454	302	0	0	1	1
1772485256	14	0	0	0	0	206268	208944	0	348164	6593	0	88	0	65052	301	53945	320	0	0	1	1
1772485258	16	0	0	0	0	206268	208944	0	348164	6593	0	88	0	66358	319	55015	336	0	0	1	1
1772485260	18	0	0	0	0	206269	208944	0	348164	6593	0	88	0	66839	326	55511	341	0	0	1	1
1772485262	20	0	0	0	0	206269	208944	0	348164	6593	0	88	0	68366	336	55878	347	0	0	1	1
1772485264	22	0	0	0	0	206265	208944	0	348164	6593	0	88	0	70098	360	57560	369	0	0	1	1
1772485266	24	0	0	0	0	206265	208944	0	348164	6593	0	88	0	73282	386	60694	390	0	0	1	1
1772485268	26	0	0	0	0	206265	208944	0	348164	6593	0	88	0	74068	398	61306	400	0	0	1	1
1772485270	28	0	0	0	0	206269	208944	0	348164	6593	0	88	0	75120	415	62276	414	0	0	1	1
1772485272	30	0	0	0	0	206269	208944	0	348164	6593	0	88	0	75820	427	62856	424	0	0	1	1
1772485274	32	0	0	0	0	206269	208944	0	348164	6593	0	88	0	77194	446	64044	440	0	0	1	1
1772485276	34	0	0	0	0	206269	208944	0	348164	6593	0	88	0	82580	488	70220	478	0	0	1	1
1772485278	36	0	0	0	0	206269	208944	0	348164	6593	0	88	0	85727	512	74513	491	0	0	1	1
1772485280	38	0	0	0	0	206269	208944	0	348164	6593	0	88	0	85847	514	74513	491	0	0	1	1
1772485282	40	0	0	0	0	206269	208944	0	348164	6593	0	88	0	86987	531	75431	504	0	0	1	1
1772485284	42	0	0	0	0	206269	208944	0	348164	6593	0	88	0	87881	542	76139	512	0	0	1	1
1772485286	44	0	0	0	0	206269	208944	0	348164	6593	0	88	0	91582	571	78884	536	0	0	1	1
1772485288	46	0	0	0	0	206269	208944	0	348164	6593	0	88	0	92182	581	79364	544	0	0	1	1
1772485290	48	0	0	0	0	206269	208944	0	348164	6593	0	88	0	92364	584	79508	546	0	0	1	1
1772485292	50	0	0	0	0	206269	208944	0	348164	6593	0	88	0	99130	605	79570	547	0	0	1	1
1772485294	52	0	0	0	0	206269	208944	0	348164	6593	0	88	0	100570	625	80824	564	0	0	1	1
1772485296	54	0	0	0	0	206269	208944	0	348164	6593	0	88	0	101302	637	81645	576	0	0	1	1
1772485298	56	0	0	0	0	206265	208944	0	348164	6593	0	88	0	104094	657	84202	593	0	0	1	1
1772485300	58	0	0	0	0	206265	208944	0	348164	6593	0	88	0	105077	668	85087	603	0	0	1	1
1772485302	60	0	0	0	0	206265	208944	0	348164	6593	0	88	0	105581	674	85605	608	0	0	1	1
1772485304	62	0	0	0	0	206261	208944	0	348164	6593	0	88	0	108824	704	89466	637	0	0	1	1
1772485306	64	0	0	0	0	206260	208944	0	348164	6593	0	88	0	124726	785	111423	721	0	0	1	1
1772485308	66	0	0	0	0	206269	208944	0	348164	6593	0	88	0	126331	805	113321	744	0	0	1	1
1772485310	68	0	0	0	0	206269	208944	0	348164	6593	0	88	0	134945	846	119019	786	0	0	1	1
1772485312	70	0	0	0	0	206269	208944	0	348164	6593	0	88	0	141526	914	126673	875	0	0	1	1
1772485314	72	0	0	0	0	206265	208944	0	348164	6593	0	88	0	171042	1009	140828	958	0	0	1	1
1772485316	74	0	0	0	0	206265	208944	0	348164	6593	0	88	0	173624	1020	143206	969	0	0	1	1
1772485318	76	0	0	0	0	206269	208944	0	348164	6593	0	88	0	174568	1033	144141	982	0	0	1	1
1772485320	78	0	0	0	0	206269	208944	0	348164	6593	0	88	0	175234	1044	144621	990	0	0	1	1
1772485322	80	0	0	0	0	206269	208944	0	348164	6593	0	88	0	175619	1051	144886	995	0	0	1	1
1772485324	82	0	0	0	0	206265	208944	0	348164	6593	0	88	0	178056	1070	147785	1011	0	0	1	1
1772485326	84	0	0	0	0	206265	208944	0	348164	6593	0	88	0	179198	1085	148691	1024	0	0	1	1
1772485328	86	0	0	0	0	206265	208944	0	348164	6593	0	88	0	180116	1099	149303	1034	0	0	1	1
1772485330	88	0	0	0	0	206265	208944	0	348164	6593	0	88	0	181350	1117	150963	1053	0	0	1	1
1772485332	90	0	0	0	0	206265	208944	0	348164	6593	0	88	0	182324	1132	152019	1067	0	0	1	1
1772485334	92	0	0	0	0	206265	208944	0	348164	6593	0	88	0	183468	1146	153005	1078	0	0	1	1
1772485336	94	0	0	0	0	206265	208944	0	348164	6593	0	88	0	184478	1151	153229	1080	0	0	1	1
1772485338	96	0	0	0	0	206265	208944	0	348164	6593	0	88	0	185360	1164	153907	1091	0	0	1	1
1772485340	98	0	0	0	0	206265	208944	0	348164	6593	0	88	0	185598	1167	154053	1092	0	0	1	1
1772485342	100	0	0	0	0	206265	208944	0	348164	6593	0	88	0	186336	1177	154661	1098	0	0	1	1
1772485344	102	0	0	0	0	206265	208944	0	348164	6593	0	88	0	187776	1197	155915	1115	0	0	1	1
1772485346	104	0	0	0	0	206265	208944	0	348164	6593	0	88	0	188376	1207	156395	1123	0	0	1	1
1772485348	106	0	0	0	0	206265	208944	0	348164	6593	0	88	0	188628	1211	156609	1126	0	0	1	1
1772485350	108	0	0	0	0	206261	208944	0	348164	6593	0	88	0	189222	1219	158252	1132	0	0	1	1
1772485352	110	0	0	0	0	206261	208944	0	348164	6593	0	88	0	190906	1235	159518	1147	0	0	1	1
1772485354	112	0	0	0	0	206260	208944	0	348164	6593	0	88	0	192326	1251	160712	1160	0	0	1	1
1772485356	114	0	0	0	0	206265	208944	0	348164	6593	0	88	0	192856	1258	161194	1165	0	0	1	1
1772485358	116	0	0	0	0	206265	208944	0	348164	6593	0	88	0	193886	1273	162076	1178	0	0	1	1
1772485360	118	0	0	0	0	206265	208944	0	348164	6593	0	88	0	194806	1288	162928	1191	0	0	1	1
1772485362	120	0	0	0	0	206265	208944	0	348164	6593	0	88	0	195480	1299	163510	1200	0	0	1	1
1772485364	122	0	0	0	0	206265	208944	0	348164	6593	0	88	0	196374	1310	164284	1209	0	0	1	1
1772485366	124	0	0	0	0	206265	208944	0	348164	6593	0	88	0	198252	1325	166034	1225	0	0	1	1
1772485368	126	0	0	0	0	206265	208944	0	348164	6593	0	88	0	199874	1348	167884	1253	0	0	1	1
1772485370	128	0	0	0	0	206265	208944	0	348164	6593	0	88	0	207049	1374	172563	1281	0	0	1	1
1772485372	130	0	0	0	0	206265	208944	0	348164	6593	0	88	0	212882	1434	180048	1370	0	0	1	1
1772485374	132	0	0	0	0	206265	208944	0	348164	6593	0	88	0	241828	1522	193960	1447	0	0	1	1
1772485376	134	0	0	0	0	206265	208944	0	348164	6593	0	88	0	243382	1535	194730	1458	0	0	1	1
1772485378	136	0	0	0	0	206265	208944	0	348164	6593	0	88	0	244424	1551	195650	1473	0	0	1	1
1772485380	138	0	0	0	0	206268	208944	0	348164	6593	0	88	0	244610	1554	195782	1475	0	0	1	1
1772485382	140	0	0	0	0	206262	208944	0	348164	6593	0	88	0	245213	1564	196362	1484	0	0	1	1
1772485384	142	0	0	0	0	206261	208944	0	348164	6593	0	88	0	248503	1591	200006	1510	0	0	1	1
1772485386	144	0	0	0	0	206261	208944	0	348164	6593	0	88	0	248623	1593	200124	1511	0	0	1	1
1772485388	146	0	0	0	0	206268	208944	0	348164	6593	0	88	0	256285	1621	200388	1515	0	0	1	1
1772485390	148	0	0	0	0	206268	208944	0	348164	6593	0	88	0	257073	1634	201108	1526	0	0	1	1
1772485392	150	0	0	0	0	206268	208944	0	348164	6593	0	88	0	257293	1638	201208	1528	0	0	1	1
1772485394	152	0	0	0	0	206268	208944	0	348164	6593	0	88	0	258261	1650	202084	1538	0	0	1	1
1772485396	154	0	0	0	0	206268	208944	0	348164	6593	0	88	0	258861	1660	202564	1546	0	0	1	1
1772485398	156	0	0	0	0	206268	208944	0	348164	6593	0	88	0	269081	1713	224916	1603	0	0	1	1
1772485400	158	0	0	0	0	206268	208944	0	348164	6593	0	88	0	269483	1718	225048	1605	0	0	1	1
1772485402	160	0	0	0	0	206268	208944	0	348164	6593	0	88	0	270665	1736	225974	1618	0	0	1	1
1772485404	162	0	0	0	0	206268	208944	0	348164	6593	0	88	0	272039	1755	227228	1635	0	0	1	1
1772485406	164	0	0	0	0	206268	208944	0	348164	6593	0	88	0	272639	1765	227708	1643	0	0	1	1
1772485408	166	0	0	0	0	206268	208944	0	348164	6593	0	88	0	273453	1778	228540	1655	0	0	1	1
1772485410	168	0	0	0	0	206268	208944	0	348164	6593	0	88	0	274395	1793	229484	1669	0	0	1	1
1772485412	170	0	0	0	0	206268	208944	0	348164	6593	0	88	0	276328	1808	235700	1686	0	0	1	1
1772485414	172	0	0	0	0	206268	208944	0	348164	6593	0	88	0	277414	1821	236590	1695	0	0	1	1
1772485416	174	0	0	0	0	206268	208944	0	348164	6593	0	88	0	278014	1831	237070	1703	0	0	1	1
1772485418	176	0	0	0	0	206268	208944	0	348164	6593	0	88	0	278134	1833	237070	1703	0	0	1	1
1772485420	178	0	0	0	0	206268	208944	0	348164	6593	0	88	0	281360	1855	239270	1725	0	0	1	1
1772485422	180	0	0	0	0	0	0	0	0	6593	0	88	0	283585	1878	250983	1748	0	0	1	1
